pais;industria;valor_importado
POL;155 Maintenance and repair services n.i.e.;780.78369140625
PRK;155 Maintenance and repair services n.i.e.;0.0
PRT;155 Maintenance and repair services n.i.e.;344.666259765625
PRY;155 Maintenance and repair services n.i.e.;0.0
PSE;155 Maintenance and repair services n.i.e.;0.0
PYF;155 Maintenance and repair services n.i.e.;0.0
QAT;155 Maintenance and repair services n.i.e.;0.0
ROU;155 Maintenance and repair services n.i.e.;378.4769592285156
RUS;155 Maintenance and repair services n.i.e.;266.59210205078125
RWA;155 Maintenance and repair services n.i.e.;0.0
SAU;155 Maintenance and repair services n.i.e.;568.0947875976562
SDN;155 Maintenance and repair services n.i.e.;0.0
SEN;155 Maintenance and repair services n.i.e.;0.0
SGP;155 Maintenance and repair services n.i.e.;1538.571533203125
SGS;155 Maintenance and repair services n.i.e.;0.0
SHN;155 Maintenance and repair services n.i.e.;0.0
SLB;155 Maintenance and repair services n.i.e.;0.0
SLE;155 Maintenance and repair services n.i.e.;0.0
SLV;155 Maintenance and repair services n.i.e.;22.0
SMR;155 Maintenance and repair services n.i.e.;0.0
SOM;155 Maintenance and repair services n.i.e.;0.0
SPM;155 Maintenance and repair services n.i.e.;0.0
SRB;155 Maintenance and repair services n.i.e.;52.597999572753906
SSD;155 Maintenance and repair services n.i.e.;0.0
STP;155 Maintenance and repair services n.i.e.;0.0
SUR;155 Maintenance and repair services n.i.e.;0.0
SVK;155 Maintenance and repair services n.i.e.;210.41200256347656
SVN;155 Maintenance and repair services n.i.e.;74.19999694824219
SWE;155 Maintenance and repair services n.i.e.;1109.960205078125
SWZ;155 Maintenance and repair services n.i.e.;0.0
SXM;155 Maintenance and repair services n.i.e.;0.0
SYC;155 Maintenance and repair services n.i.e.;0.0
SYR;155 Maintenance and repair services n.i.e.;0.0
TCA;155 Maintenance and repair services n.i.e.;0.0
TCD;155 Maintenance and repair services n.i.e.;0.0
TGO;155 Maintenance and repair services n.i.e.;0.0
THA;155 Maintenance and repair services n.i.e.;177.3331756591797
TJK;155 Maintenance and repair services n.i.e.;0.0
TKL;155 Maintenance and repair services n.i.e.;0.0
TKM;155 Maintenance and repair services n.i.e.;0.0
TLS;155 Maintenance and repair services n.i.e.;0.0
TON;155 Maintenance and repair services n.i.e.;0.0
TTO;155 Maintenance and repair services n.i.e.;0.0
TUN;155 Maintenance and repair services n.i.e.;0.0
TUR;155 Maintenance and repair services n.i.e.;769.4880981445312
TUV;155 Maintenance and repair services n.i.e.;0.0
TWN;155 Maintenance and repair services n.i.e.;1281.2637939453125
TZA;155 Maintenance and repair services n.i.e.;0.0
UGA;155 Maintenance and repair services n.i.e.;0.0
UKR;155 Maintenance and repair services n.i.e.;0.0
UMI;155 Maintenance and repair services n.i.e.;0.0
URY;155 Maintenance and repair services n.i.e.;9.265998840332031
USA;155 Maintenance and repair services n.i.e.;13482.326171875
UZB;155 Maintenance and repair services n.i.e.;0.0
VAT;155 Maintenance and repair services n.i.e.;0.0
VCT;155 Maintenance and repair services n.i.e.;0.0
VEN;155 Maintenance and repair services n.i.e.;5.0
VGB;155 Maintenance and repair services n.i.e.;0.0
VNM;155 Maintenance and repair services n.i.e.;35.0
VUT;155 Maintenance and repair services n.i.e.;0.0
WLF;155 Maintenance and repair services n.i.e.;0.0
WSM;155 Maintenance and repair services n.i.e.;0.0
YEM;155 Maintenance and repair services n.i.e.;0.0
ZAF;155 Maintenance and repair services n.i.e.;103.82019805908203
ZMB;155 Maintenance and repair services n.i.e.;0.0
ZWE;155 Maintenance and repair services n.i.e.;0.0
ABW;156 Transport;0.0
AFG;156 Transport;0.0
AGO;156 Transport;0.0
AIA;156 Transport;0.0
ALB;156 Transport;217.5485382080078
AND;156 Transport;0.0
ARE;156 Transport;378.79998779296875
ARG;156 Transport;2859.4072265625
ARM;156 Transport;1109.0716552734375
ASM;156 Transport;0.0
ATA;156 Transport;0.0
ATF;156 Transport;0.0
ATG;156 Transport;0.0
AUS;156 Transport;21361.076171875
AUT;156 Transport;13198.3193359375
AZE;156 Transport;0.0
BDI;156 Transport;0.0
BEL;156 Transport;23320.9765625
BEN;156 Transport;0.0
BES;156 Transport;0.0
BFA;156 Transport;684.7496337890625
BGD;156 Transport;0.0
BGR;156 Transport;2396.955078125
BHR;156 Transport;110.0
BHS;156 Transport;895.3993530273438
BIH;156 Transport;333.2919921875
BLM;156 Transport;0.0
BLR;156 Transport;0.0
BLZ;156 Transport;0.0
BMU;156 Transport;156.0
BOL;156 Transport;88.19999694824219
BRA;156 Transport;11705.896484375
BRB;156 Transport;0.0
BRN;156 Transport;758.2339477539062
BTN;156 Transport;0.0
BVT;156 Transport;0.0
BWA;156 Transport;1029.540283203125
CAF;156 Transport;0.0
CAN;156 Transport;17709.2734375
CCK;156 Transport;0.0
CHE;156 Transport;32405.015625
CHL;156 Transport;8635.80859375
CHN;156 Transport;65232.15625
CIV;156 Transport;0.0
CMR;156 Transport;0.0
COD;156 Transport;0.0
COG;156 Transport;0.0
COK;156 Transport;0.0
COL;156 Transport;1658.0999755859375
COM;156 Transport;0.0
CPV;156 Transport;399.8216552734375
CRI;156 Transport;473.0
CUB;156 Transport;0.0
CUW;156 Transport;0.0
CXR;156 Transport;0.0
CYM;156 Transport;20.399999618530273
CYP;156 Transport;2611.73974609375
CZE;156 Transport;9379.5009765625
DEU;156 Transport;102587.390625
DJI;156 Transport;0.0
DMA;156 Transport;0.0
DNK;156 Transport;32036.62109375
DOM;156 Transport;1362.0
DZA;156 Transport;0.0
ECU;156 Transport;155.0
EGY;156 Transport;2520.98681640625
ERI;156 Transport;0.0
ESH;156 Transport;0.0
ESP;156 Transport;20395.919921875
EST;156 Transport;2110.23681640625
ETH;156 Transport;0.0
FIN;156 Transport;7737.681640625
FJI;156 Transport;25.700000762939453
FLK;156 Transport;0.0
FRA;156 Transport;46664.0546875
FRE;156 Transport;0.0
FRO;156 Transport;0.0
FSM;156 Transport;0.0
GAB;156 Transport;0.0
GBR;156 Transport;60461.2265625
GEO;156 Transport;2752.463134765625
GHA;156 Transport;0.0
GIB;156 Transport;0.0
GIN;156 Transport;0.0
GMB;156 Transport;0.0
GNB;156 Transport;0.0
GNQ;156 Transport;0.0
GRC;156 Transport;6985.69921875
GRD;156 Transport;0.0
GRL;156 Transport;0.0
GTM;156 Transport;5617.09033203125
GUM;156 Transport;0.0
GUY;156 Transport;0.0
HKG;156 Transport;26944.5078125
HMD;156 Transport;0.0
HND;156 Transport;361.0
HRV;156 Transport;1524.8446044921875
HTI;156 Transport;0.0
HUN;156 Transport;5411.732421875
IDN;156 Transport;2870.468017578125
IND;156 Transport;17143.849609375
IOT;156 Transport;0.0
IRL;156 Transport;9445.849609375
IRN;156 Transport;4.599999904632568
IRQ;156 Transport;0.0
ISL;156 Transport;747.5761108398438
