industry,dependent_country,supplier_country,dependency_value,direct_dependency,indirect_dependency,trade_value,optimal_length,tariff,tariff_group,region
Basic iron and steel,USA,DZA,0.0,0.0,0.0,0.0,2,30,21-30%,OTHER
Basic iron and steel,USA,NRU,0.0,0.0,0.0,0.0,2,30,21-30%,OTHER
Basic iron and steel,USA,PAK,0.0,0.0,0.0,0.0,2,30,21-30%,OTHER
Basic iron and steel,USA,TUN,0.0,0.0,0.0,0.0,2,28,21-30%,OTHER
Basic iron and steel,USA,IND,0.0095622602591208,0.0063948505558073,0.0031674097033134,801.1701049804688,2,27,21-30%,OTHER
Basic iron and steel,USA,KAZ,0.0041445606482934,0.0,0.0041445606482934,0.0,2,27,21-30%,OTHER
Basic iron and steel,USA,KOR,0.0392356403193798,0.0224588047713041,0.0167768355480757,2813.720703125,3,26,21-30%,ASIA
Basic iron and steel,USA,JPN,0.035688012657559,0.0141765037551522,0.0215115089024067,1776.0838623046875,3,24,21-30%,ASIA
Basic iron and steel,USA,MYS,0.0014866610537766,0.0,0.0014866610537766,0.0,2,24,21-30%,ASIA
Basic iron and steel,USA,BRN,0.0,0.0,0.0,0.0,2,24,21-30%,ASIA
Basic iron and steel,USA,VUT,0.0,0.0,0.0,0.0,2,23,21-30%,OTHER
Basic iron and steel,USA,CIV,0.0,0.0,0.0,0.0,2,21,21-30%,OTHER
Basic iron and steel,USA,NAM,0.0,0.0,0.0,0.0,2,21,21-30%,OTHER
Basic iron and steel,USA,DEU,0.0170268060476405,0.0123443519696593,0.0046824540779812,1546.5452880859375,2,20,11-20%,EU
Basic iron and steel,USA,ITA,0.0102474007384331,0.0076732295565307,0.0025741711819024,961.330078125,2,20,11-20%,EU
Basic iron and steel,USA,FRA,0.0021057726764611,0.0,0.0021057726764611,0.0,2,20,11-20%,EU
Basic iron and steel,USA,SWE,0.0019422995275059,0.0,0.0019422995275059,0.0,2,20,11-20%,EU
Basic iron and steel,USA,AUT,0.0015965823616842,0.0,0.0015965823616842,0.0,2,20,11-20%,EU
Basic iron and steel,USA,BEL,0.0015353720998113,0.0,0.0015353720998113,0.0,2,20,11-20%,EU
Basic iron and steel,USA,FIN,0.0012556798522967,0.0,0.0012556798522967,0.0,2,20,11-20%,EU
Basic iron and steel,USA,ESP,0.0011482915028179,0.0,0.0011482915028179,0.0,2,20,11-20%,EU
Basic iron and steel,USA,NLD,0.0010444822511469,0.0,0.0010444822511469,0.0,2,20,11-20%,EU
Basic iron and steel,USA,CZE,0.0007875186001131,0.0,0.0007875186001131,0.0,2,20,11-20%,EU
Basic iron and steel,USA,POL,0.0007066864895575,0.0,0.0007066864895575,0.0,2,20,11-20%,EU
Basic iron and steel,USA,LUX,0.0004388185584901,0.0,0.0004388185584901,0.0,2,20,11-20%,EU
Basic iron and steel,USA,SVK,0.0002591140016934,0.0,0.0002591140016934,0.0,2,20,11-20%,EU
Basic iron and steel,USA,ROU,0.0001309558901083,0.0,0.0001309558901083,0.0,2,20,11-20%,EU
Basic iron and steel,USA,SVN,6.379377609396376e-05,0.0,6.379377609396376e-05,0.0,2,20,11-20%,EU
Basic iron and steel,USA,BGR,0.0,0.0,0.0,0.0,2,20,11-20%,EU
Basic iron and steel,USA,CYP,0.0,0.0,0.0,0.0,2,20,11-20%,EU
Basic iron and steel,USA,DNK,0.0,0.0,0.0,0.0,2,20,11-20%,EU
Basic iron and steel,USA,EST,0.0,0.0,0.0,0.0,2,20,11-20%,EU
Basic iron and steel,USA,GRC,0.0,0.0,0.0,0.0,2,20,11-20%,EU
Basic iron and steel,USA,HRV,0.0,0.0,0.0,0.0,2,20,11-20%,EU
Basic iron and steel,USA,HUN,0.0,0.0,0.0,0.0,2,20,11-20%,EU
Basic iron and steel,USA,IRL,0.0,0.0,0.0,0.0,2,20,11-20%,EU
Basic iron and steel,USA,JOR,0.0,0.0,0.0,0.0,2,20,11-20%,OTHER
Basic iron and steel,USA,LTU,0.0,0.0,0.0,0.0,2,20,11-20%,EU
Basic iron and steel,USA,LVA,0.0,0.0,0.0,0.0,2,20,11-20%,EU
Basic iron and steel,USA,MLT,0.0,0.0,0.0,0.0,2,20,11-20%,EU
Basic iron and steel,USA,PRT,0.0,0.0,0.0,0.0,2,20,11-20%,EU
Basic iron and steel,USA,NIC,0.0,0.0,0.0,0.0,2,19,11-20%,LATAM
Basic iron and steel,USA,MWI,0.0,0.0,0.0,0.0,2,18,11-20%,OTHER
Basic iron and steel,USA,PHL,0.0,0.0,0.0,0.0,2,18,11-20%,ASIA
Basic iron and steel,USA,ZWE,0.0,0.0,0.0,0.0,2,18,11-20%,OTHER
Basic iron and steel,USA,ISR,0.0,0.0,0.0,0.0,2,17,11-20%,OTHER
Basic iron and steel,USA,ZMB,0.0,0.0,0.0,0.0,2,17,11-20%,OTHER
Basic iron and steel,USA,MOZ,0.0,0.0,0.0,0.0,2,16,11-20%,OTHER
Basic iron and steel,USA,NOR,0.0,0.0,0.0,0.0,2,16,11-20%,OTHER
Basic iron and steel,USA,VEN,0.0,0.0,0.0,0.0,2,15,11-20%,LATAM
Basic iron and steel,USA,NGA,0.0,0.0,0.0,0.0,2,14,11-20%,OTHER
Basic iron and steel,USA,GNQ,0.0,0.0,0.0,0.0,2,13,11-20%,OTHER
Basic iron and steel,USA,TCD,0.0,0.0,0.0,0.0,2,13,11-20%,OTHER
Basic iron and steel,USA,CMR,0.0,0.0,0.0,0.0,2,12,11-20%,OTHER
Basic iron and steel,USA,COD,0.0,0.0,0.0,0.0,2,11,11-20%,OTHER
